Project ID,Record ID,Title,Datasets Used,is_flagged,opus_substantive_domains,opus_linkage_mode,opus_analytical_purpose,opus_primary_domain,sonnet_substantive_domains,sonnet_linkage_mode,sonnet_analytical_purpose,sonnet_primary_domain,domain_match,linkage_match,purpose_match,all_layers_match,review_status,preferred_model,final_domain,final_linkage,final_purpose,review_notes
2022/186,2022/186,ISCF Prospering from the Energy Revolution Evaluation,"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings, Business Enterprise Research and Development, Business Structure Database",False,Business & Productivity; Environment & Agriculture,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,Business & Productivity; Environment & Agriculture,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,True,True,True,True,,,,,,
2022/189,2022/189,Impact of No Interest Loan Scheme,"Office for National Statistics: Annual Population Survey, Understanding Society, Wealth and Assets Survey",False,"Poverty, Inequality & Living Standards",Within-Domain Linkage,Policy Evaluation / Impact Analysis,"Poverty, Inequality & Living Standards","Poverty, Inequality & Living Standards",Within-Domain Linkage,Policy Evaluation / Impact Analysis,"Poverty, Inequality & Living Standards",True,True,True,True,,,,,,
2023/029,2023/029,Sustainable Living: Opinions and Lifestyle Survey Analysis of Attitudes and Behaviours,Office for National Statistics: Opinions and Lifestyle Survey - Great Britain,False,Environment & Agriculture,Single-Dataset,Descriptive Monitoring,Environment & Agriculture,Environment & Agriculture,Single-Dataset,Descriptive Monitoring,Environment & Agriculture,True,True,True,True,,,,,,
2023/031,2023/031,Monopsony and minimum wages,"Office for National Statistics: Annual Survey of Hours and Earnings - UK, Annual Population Survey - UK, Business Structure Database - UK",False,Labour Market & Employment,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Labour Market & Employment,Labour Market & Employment,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Labour Market & Employment,True,True,True,True,,,,,,
2023/037,2023/037,Assessing the impact of the NLW using machine-learning classification,"Office for National Statistics: Labour Force Survey Person - UK, Labour Force Survey Longitudinal - UK, Annual Survey of Hours and Earnings - UK",False,Labour Market & Employment,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Labour Market & Employment,Labour Market & Employment,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Labour Market & Employment,True,True,True,True,,,,,,
2023/046,2023/046,Local far-right support and immigrants' location choices in the UK,Office for National Statistics: Annual Population Survey - UK,False,Migration & Demographics,Single-Dataset,Outcome Linkage,Migration & Demographics,Migration & Demographics,Single-Dataset,Outcome Linkage,Migration & Demographics,True,True,True,True,,,,,,
2023/050,2023/050,The effects of UK ODI on the home economy,"Office for National Statistics: Annual Foreign Direct Investment Survey - UK, Annual Business Survey - UK, International Trade in Services - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK",False,Business & Productivity,Within-Domain Linkage,Outcome Linkage,Business & Productivity,Business & Productivity,Within-Domain Linkage,Outcome Linkage,Business & Productivity,True,True,True,True,,,,,,
2023/051,2023/051,Dynamics of Climate Policy,"Office for National Statistics: Business Structure Database - UK, Low Carbon and Renewable Energy Economy Survey - UK, Annual Purchases Survey - UK, Annual Respondents Database x - UK
Department for Business, Energy & Industrial Strategy: Quarterly Fuels Inquiry - UK",False,Environment & Agriculture; Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Environment & Agriculture,Environment & Agriculture; Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Environment & Agriculture,True,True,True,True,,,,,,
2023/065,2023/065,Skills at workplace and pay progression,"Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales, Annual Business Survey - UK, Annual Respondents Database x - UK, Management and Expectations Survey - Great Britain
Department For Education: Employer Skills Survey and Investment in Training - UK
Department for Business, Energy & Industrial Strategy: Workplace Employment Relations Survey - Great Britain, UK Innovation Survey",False,Labour Market & Employment; Education & Skills; Business & Productivity,Multi-Domain Linkage,Outcome Linkage,Labour Market & Employment,Labour Market & Employment; Education & Skills; Business & Productivity,Multi-Domain Linkage,Outcome Linkage,Labour Market & Employment,True,True,True,True,,,,,,
"2023/070
","2023/070
",The economic and socio-­economic impacts of trade on the UK labour market (Census Data),"Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales, International Trade in Services - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK",False,Labour Market & Employment; Business & Productivity,Cross-Domain Linkage,Outcome Linkage,Labour Market & Employment,Labour Market & Employment; Business & Productivity,Cross-Domain Linkage,Outcome Linkage,Labour Market & Employment,True,True,True,True,,,,,,
2023/203,2023/203,Economic Evaluation of the Aerospace Technology Institute,"Office for National Statistics: Business Enterprise Research and Development - Great Britain, Annual Survey of Hours and Earnings - UK, Business Structure Database - UK, Annual Business Survey - UK",False,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,True,True,True,True,,,,,,
2023/270,2023/270,How do UK exporting firms differ from non-exporting firms?,Office for National Statistics: Annual Business Survey,False,Business & Productivity,Single-Dataset,Descriptive Monitoring,Business & Productivity,Business & Productivity,Single-Dataset,Descriptive Monitoring,Business & Productivity,True,True,True,True,,,,,,
2023/311,2023/311,Automatic enrollment and retirement contributions,"Office for National Statistics: Annual Survey of Hours and Earnings - UK, Annual Survey of Hours and Earnings Longitudinal - UK, Over 50s Lifestyle Study - Great Britain, Wealth and Assets Survey - Great Britain
DWP: Family Resources Survey - UK",False,"Labour Market & Employment; Poverty, Inequality & Living Standards",Within-Domain Linkage,Policy Evaluation / Impact Analysis,Labour Market & Employment,"Labour Market & Employment; Poverty, Inequality & Living Standards",Within-Domain Linkage,Policy Evaluation / Impact Analysis,Labour Market & Employment,True,True,True,True,,,,,,
2024/091,2024/091,Maternal health outcomes associated with blue green spaces.,Office for National Statistics: Census 2011,False,Health & Social Care; Environment & Agriculture,Single-Dataset,Outcome Linkage,Health & Social Care,Health & Social Care; Environment & Agriculture,Single-Dataset,Outcome Linkage,Health & Social Care,True,True,True,True,,,,,,
2024/093,2024/093,Help to Grow Management study,"Office for National Statistics: Annual Business Survey - GB, Business Structure Database - UK, Annual Survey of Hours and Earnings - GB",False,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,True,True,True,True,,,,,,
2024/106,2024/106,"Health impact, process and economic evaluation of selective licensing schemes for private rented housing in England",Office for National Statistics: Annual Population Survey - UK,False,Housing & Planning; Health & Social Care,Single-Dataset,Policy Evaluation / Impact Analysis,Housing & Planning,Housing & Planning; Health & Social Care,Single-Dataset,Policy Evaluation / Impact Analysis,Housing & Planning,True,True,True,True,,,,,,
2024/172,2024/172,Evaluating the Future Flight Challenge,Office for National Statistics: Business Structure Database - UK,False,Business & Productivity,Single-Dataset,Policy Evaluation / Impact Analysis,Business & Productivity,Business & Productivity,Single-Dataset,Policy Evaluation / Impact Analysis,Business & Productivity,True,True,True,True,,,,,,
2024/177,2024/177,The Health Impact of Fraud,Office for National Statistics: Crime Survey for England and Wales,False,Crime & Justice; Health & Social Care,Single-Dataset,Outcome Linkage,Crime & Justice,Crime & Justice; Health & Social Care,Single-Dataset,Outcome Linkage,Crime & Justice,True,True,True,True,,,,,,
2024/218,2024/218,Assessing the impact of Operation Venetic on court outcomes.,"Ministry of Justice: Ministry of Justice Data First Magistrates Court Iteration 2 - England and Wales, RETIRED Ministry of Justice Data First Crown Court Defendant - England and Wales, MoJ Data First cross-justice system linking dataset England and Wales",False,Crime & Justice,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Crime & Justice,Crime & Justice,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Crime & Justice,True,True,True,True,,,,,,
2024/225,2024/225,Return to gay pay in the UK,"Office for National Statistics: Annual Population Survey, Quarterly Labour Force Survey",False,"Labour Market & Employment; Gender, Race & Ethnicity",Within-Domain Linkage,Inequality / Disparities Analysis,Labour Market & Employment,"Labour Market & Employment; Gender, Race & Ethnicity",Within-Domain Linkage,Inequality / Disparities Analysis,Labour Market & Employment,True,True,True,True,,,,,,
2024/230,2024/230,"Health-related Outcomes, alternative Provision, and Exclusion among pupils with neurodivergent Special Educational Needs (HOPE-SEN)",NHS; DfE: Education and Child Health Insights from Linked Data - England,False,Education & Skills; Health & Social Care,Cross-Domain Linkage,Outcome Linkage,Education & Skills,Education & Skills; Health & Social Care,Cross-Domain Linkage,Outcome Linkage,Education & Skills,True,True,True,True,,,,,,
2024/240,2024/240,Quasi-experimental analysis of the Energy Systems Catapult's impacts on supported small and medium-sized enterprises,Office for National Statistics: Business Structure Database - UK,False,Business & Productivity,Single-Dataset,Policy Evaluation / Impact Analysis,Business & Productivity,Business & Productivity,Single-Dataset,Policy Evaluation / Impact Analysis,Business & Productivity,True,True,True,True,,,,,,
2024/252,2024/252,ICT and firm performance,"Office for National Statistics: Annual Respondents Database x - UK, E-commerce and Digital Economy Survey - UK, Annual Respondents Database 2 - UK",False,Business & Productivity,Within-Domain Linkage,Outcome Linkage,Business & Productivity,Business & Productivity,Within-Domain Linkage,Outcome Linkage,Business & Productivity,True,True,True,True,,,,,,
2025/014,2025/014,Disaggregating Household Inequality and Poverty in Northern Ireland Using Linked Administrative Data,Northern Ireland Statistics and Research Agency: CGIAD 2019-2020,False,"Poverty, Inequality & Living Standards",Single-Dataset,Inequality / Disparities Analysis,"Poverty, Inequality & Living Standards","Poverty, Inequality & Living Standards",Single-Dataset,Inequality / Disparities Analysis,"Poverty, Inequality & Living Standards",True,True,True,True,,,,,,
2025/027,2025/027,Migration Observatory analysis of international migration under the UK  ™s post-Brexit immigration system,"Office for National Statistics: Census 2021  
England  and  Wales",False,Migration & Demographics,Single-Dataset,Descriptive Monitoring,Migration & Demographics,Migration & Demographics,Single-Dataset,Descriptive Monitoring,Migration & Demographics,True,True,True,True,,,,,,
2025/034,2025/034,Educational Attainment and Chronic Conditions Among Children and Young People: Evidence from Linked Administrative Data,NHS; DfE: Education and Child Health Insights from Linked Data - England,False,Education & Skills; Health & Social Care,Cross-Domain Linkage,Outcome Linkage,Education & Skills,Education & Skills; Health & Social Care,Cross-Domain Linkage,Outcome Linkage,Education & Skills,True,True,True,True,,,,,,
2025/100,2025/100,Enabling Skills for a Transition to a Green Economy,"Office for National Statistics: Annual Population Survey - UK, Labour Force Survey Person - UK, Annual Survey of Hours and Earnings Longitudinal - UK, Annual Respondents Database x - UK, Annual Business Survey - GB, Business Register Employment Survey - UK, Business Structure Database - UK, E-commerce and Digital Economy Survey - UK_x000D_
Department For Education: Employer Skills Survey and Investment in Training - UK_x000D_
Institute for Economic and Social Research: Understanding Society - UK",False,Labour Market & Employment; Education & Skills; Business & Productivity; Environment & Agriculture,Multi-Domain Linkage,Descriptive Monitoring,Labour Market & Employment,Labour Market & Employment; Education & Skills; Business & Productivity; Environment & Agriculture,Multi-Domain Linkage,Descriptive Monitoring,Labour Market & Employment,True,True,True,True,,,,,,
2025/105,2025/105,Quasi­-experimental analysis of the impacts of Innovate UKs Business Growth Programme on supported small and medium enterprises,Office for National Statistics: Business Structure Database,False,Business & Productivity,Single-Dataset,Policy Evaluation / Impact Analysis,Business & Productivity,Business & Productivity,Single-Dataset,Policy Evaluation / Impact Analysis,Business & Productivity,True,True,True,True,,,,,,
2025/106,2025/106,School attendance problems and educational attainment in children with neurodevelopmental conditions (intellectual disability and/or autism).,"Office for National Statistics: Growing Up in England Wave 1, Growing Up in England Wave 2 - Exclusions, Absences and English School Census",False,Education & Skills; Health & Social Care,Within-Domain Linkage,Outcome Linkage,Education & Skills,Education & Skills; Health & Social Care,Within-Domain Linkage,Outcome Linkage,Education & Skills,True,True,True,True,,,,,,
2025/110,2025/110,UK MS Register,SAIL Databank Databank: Census 2021,False,Health & Social Care; Migration & Demographics,Single-Dataset,Descriptive Monitoring,Health & Social Care,Health & Social Care; Migration & Demographics,Single-Dataset,Descriptive Monitoring,Health & Social Care,True,True,True,True,,,,,,
2025/117,2025/117,Examining the NI   ˜Brain Drain  ™,UCAS: Universities and Colleges Admissions Service data,False,Education & Skills; Migration & Demographics,Single-Dataset,Descriptive Monitoring,Education & Skills,Education & Skills; Migration & Demographics,Single-Dataset,Descriptive Monitoring,Education & Skills,True,True,True,True,,,,,,
2025/141,2025/141,Evaluation of the 50+ element of Support to Succeed Pilot,Office for National Statistics: Labour Force Survey - Person UK,False,Labour Market & Employment,Single-Dataset,Policy Evaluation / Impact Analysis,Labour Market & Employment,Labour Market & Employment,Single-Dataset,Policy Evaluation / Impact Analysis,Labour Market & Employment,True,True,True,True,,,,,,
2025/158,2025/158,Social and environmental determinants of health,SAIL Databank: Census 2021,False,Health & Social Care; Environment & Agriculture,Single-Dataset,Outcome Linkage,Health & Social Care,Health & Social Care; Environment & Agriculture,Single-Dataset,Outcome Linkage,Health & Social Care,True,True,True,True,,,,,,
2025/164,2025/164,Investigating Disparities in the Reporting of Sexual Violence in England and Wales: A Comparative and Intersectional Analysis Using Crime Survey Microdata,"Office for National Statistics: Crime Survey for England and Wales, 2022-2023",False,"Crime & Justice; Gender, Race & Ethnicity",Single-Dataset,Inequality / Disparities Analysis,Crime & Justice,"Crime & Justice; Gender, Race & Ethnicity",Single-Dataset,Inequality / Disparities Analysis,Crime & Justice,True,True,True,True,,,,,,
2025/203,2025/203,Local labour markets and structural change across OECD countries (UK component),"Office for National Statistics: Business Structure Database UK, 
Annual Business Survey GB, 
Annual Survey of Hours and Earnings 
Longitudinal - UK",False,Labour Market & Employment; Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Labour Market & Employment,Labour Market & Employment; Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Labour Market & Employment,True,True,True,True,,,,,,
2025/220,2025/220,Low Earner Lifecourses,"Office for National Statistics: Annual Survey of Hours and Earnings 
Longitudinal - UK",False,"Labour Market & Employment; Poverty, Inequality & Living Standards",Single-Dataset,Life-Course / Trajectory Analysis,Labour Market & Employment,"Labour Market & Employment; Poverty, Inequality & Living Standards",Single-Dataset,Life-Course / Trajectory Analysis,Labour Market & Employment,True,True,True,True,,,,,,
2025/231,2025/231,Rethinking the Value of a University Degree,Department for Education: Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - England,False,Education & Skills; Labour Market & Employment,Single-Dataset,Outcome Linkage,Education & Skills,Education & Skills; Labour Market & Employment,Single-Dataset,Outcome Linkage,Education & Skills,True,True,True,True,,,,,,
2025/247,2025/247,What effect do demand-side policies to reduce downpayment constraints for home purchase have on social mobility?,"Understanding Society: Linked Credit Reference Agency (CRA) Dataset, British Household Panel Survey                                Office for National Statistics: Quarterly Labour Force Survey, Annual Population Survey                                             Department for Transport: National Travel Survey",False,Housing & Planning; Labour Market & Employment,Multi-Domain Linkage,Policy Evaluation / Impact Analysis,Housing & Planning,Housing & Planning; Labour Market & Employment,Multi-Domain Linkage,Policy Evaluation / Impact Analysis,Housing & Planning,True,True,True,True,,,,,,
2025/252,2025/252,Barriers to growth: the role of physical barriers in determining agglomeration spillovers,"Office For National Statistics: Longitudinal Business Database - UK, Annual Respondents Database 2, Annual Respondents Database X",False,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,True,True,True,True,,,,,,
2026/016,2026/016,Estimation of adjustment costs and misallocation of inputs,Office for National Statistics: Annual Respondents Database,False,Business & Productivity,Single-Dataset,Descriptive Monitoring,Business & Productivity,Business & Productivity,Single-Dataset,Descriptive Monitoring,Business & Productivity,True,True,True,True,,,,,,
2026/038,2026/038,Exploring the labour market outcomes of young people in Northern Ireland,Office for National Statistics: Census 21 Comprehensive Microdata,False,Labour Market & Employment,Single-Dataset,Descriptive Monitoring,Labour Market & Employment,Labour Market & Employment,Single-Dataset,Descriptive Monitoring,Labour Market & Employment,True,True,True,True,,,,,,
2026/047,2026/047,Documenting children's experience of family change in England and Wales,"Office for National Statistics: Census 2011 Household - England and Wales,
Census 2021 Household Secure Microdata Sample - England and Wales  ",False,Migration & Demographics,Within-Domain Linkage,Descriptive Monitoring,Migration & Demographics,Migration & Demographics,Within-Domain Linkage,Descriptive Monitoring,Migration & Demographics,True,True,True,True,,,,,,
